General
Serial Number,IQDVT Version,CV VERSION,DUT VERSION,Date,Time
,1.8.7.2,wlan_7.2.300@r1044+a+233+a+23-e90bc1,2.27.1_r1044+a+233+a+23-e90bc1,2026/4/29,17:40
Rx Reciever DFS
Test,Ant,Frequency,Channel,DUT Transmit Power,RSSI,RSSI Error,Temp,Pass/Fail
1.1.1,4,5180,36,-40,-48.00,8.00,47,Pass
1.2.1,4,5190,38,-40,-48.00,8.00,47,Pass
1.3.1,4,5200,40,-40,-48.00,8.00,47,Pass
1.4.1,4,5210,42,-40,-48.00,8.00,47,Pass
1.5.1,4,5220,44,-40,-48.00,8.00,47,Pass
1.6.1,4,5230,46,-40,-48.00,8.00,47,Pass
1.7.1,4,5240,48,-40,-48.00,8.00,47,Pass
1.8.1,4,5250,50,-40,-48.00,8.00,47,Pass
1.9.1,4,5260,52,-40,-48.00,8.00,47,Pass
1.10.1,4,5270,54,-40,-48.00,8.00,47,Pass
1.11.1,4,5280,56,-40,-48.00,8.00,47,Pass
1.12.1,4,5290,58,-40,-48.00,8.00,47,Pass
1.13.1,4,5300,60,-40,-48.00,8.00,47,Pass
1.14.1,4,5310,62,-40,-48.00,8.00,47,Pass
1.15.1,4,5320,64,-40,-48.00,8.00,47,Pass
1.16.1,4,5500,100,-40,-48.00,8.00,47,Pass
1.17.1,4,5510,102,-40,-48.00,8.00,47,Pass
1.18.1,4,5520,104,-40,-48.00,8.00,47,Pass
1.19.1,4,5530,106,-40,-48.00,8.00,47,Pass
1.20.1,4,5540,108,-40,-48.00,8.00,47,Pass
1.21.1,4,5550,110,-40,-48.00,8.00,47,Pass
1.22.1,4,5560,112,-40,-48.00,8.00,47,Pass
1.23.1,4,5570,114,-40,-48.00,8.00,47,Pass
1.24.1,4,5580,116,-40,-48.00,8.00,47,Pass
1.25.1,4,5590,118,-40,-48.00,8.00,47,Pass
1.26.1,4,5600,120,-40,-48.00,8.00,47,Pass
1.27.1,4,5610,122,-40,-48.00,8.00,47,Pass
1.28.1,4,5620,124,-40,-48.00,8.00,47,Pass
1.29.1,4,5630,126,-40,-48.00,8.00,47,Pass
1.30.1,4,5640,128,-40,-48.00,8.00,47,Pass
1.31.1,4,5660,132,-40,-48.00,8.00,47,Pass
1.32.1,4,5670,134,-40,-48.00,8.00,47,Pass
1.33.1,4,5680,136,-40,-48.00,8.00,47,Pass
1.34.1,4,5690,138,-40,-48.00,8.00,47,Pass
1.35.1,4,5700,140,-40,-48.00,8.00,47,Pass
1.36.1,4,5710,142,-40,-48.00,8.00,48,Pass
1.37.1,4,5720,144,-40,-48.00,8.00,47,Pass
1.38.1,4,5745,149,-40,-49.00,9.00,47,Pass
1.39.1,4,5755,151,-40,-49.00,9.00,48,Pass
1.40.1,4,5765,153,-40,-48.00,8.00,48,Pass
1.41.1,4,5775,155,-40,-48.00,8.00,48,Pass
1.42.1,4,5785,157,-40,-48.00,8.00,47,Pass
1.43.1,4,5795,159,-40,-48.00,8.00,48,Pass
1.44.1,4,5805,161,-40,-48.00,8.00,48,Pass
1.45.1,4,5815,163,-40,-48.00,8.00,48,Pass
1.46.1,4,5825,165,-40,-48.00,8.00,48,Pass
1.47.1,4,5835,167,-40,-48.00,8.00,48,Pass
1.48.1,4,5845,169,-40,-48.00,8.00,48,Pass
1.49.1,4,5855,171,-40,-48.00,8.00,48,Pass
1.50.1,4,5865,173,-40,-49.00,9.00,48,Pass
1.51.1,4,5875,175,-40,-49.00,9.00,48,Pass
1.52.1,4,5885,177,-40,-50.00,10.00,48,Pass
1.53.1,4,5905,181,-40,-55.00,15.00,48,Pass
Tx Performance
Test,Band,Tx Mode,Ant,Rate,Signal BW,Spectrum BW,Frequency,Channel,Preamble,Guard Interval,GILTF,Coding Type,SS,Fixed Power,Open/Close loop,Temperature,DUT Transmit Power,Limit Spec On/Off,Volt,Power,Power Error,Limit[Power Error],EVM,Limit[EVM],Clock Error S1,Limit[Clock],Frequency Error Hz,Frequency Error ppm,Limit[Freq],Lo Leakage,Limit[Lo leakage],Lo Leakage Margin,Limit[Lo leakage Margin],Mask Violation,Limit[Mask Violation],Flatness Margin,Spectral Mask Margin,Worst Mask Margin,Error Message,Pass/Fail
23.1.2,5G,802.11ag,0,OFDM 54,20MHz,20MHZ,5500,100,N/A,N/A,N/A,N/A,1,false,Close,50,20.5,Off,12984,20.31,-0.19, ,-31.49,(<-28),-1.49, ,-6301.98,-1.15,(-10 - 10),-55.84, ,40.84, ,0.00,(<1),[3.86 3.86 3.91 3.98 ],[9.49 9.14 8.99 9.50 8.93 8.59 8.98 9.77 ],[-30.98 -29.69 -11.02 -10.98 10.98 11.21 28.71 30.66 ],No Error,Pass
23.1.3,5G,802.11ag,0,OFDM 54,20MHz,20MHZ,5825,165,N/A,N/A,N/A,N/A,1,false,Close,51,20.5,Off,13372,20.54,0.04, ,-33.85,(<-28),-1.49, ,-6725.92,-1.15,(-10 - 10),-52.33, ,37.33, ,0.00,(<1),[3.85 3.88 3.90 3.95 ],[10.74 10.74 9.44 9.62 9.15 8.98 10.84 11.39 ],[-30.98 -29.06 -11.02 -10.94 10.98 11.21 29.69 30.66 ],No Error,Pass
23.2.1,5G,802.11ag,1,OFDM 54,20MHz,20MHZ,5180,36,N/A,N/A,N/A,N/A,1,false,Close,50,20.5,Off,12462,20.28,-0.22, ,-30.46,(<-28),-1.54, ,-6006.34,-1.16,(-10 - 10),-67.40, ,52.40, ,0.00,(<1),[3.92 3.89 3.93 3.93 ],[9.16 9.24 8.82 9.34 8.44 8.11 9.41 9.88 ],[-30.00 -29.06 -11.02 -10.98 10.98 11.21 28.71 30.35 ],No Error,Pass
23.2.2,5G,802.11ag,1,OFDM 54,20MHz,20MHZ,5500,100,N/A,N/A,N/A,N/A,1,false,Close,50,20.5,Off,12923,20.36,-0.14, ,-29.51,(<-28),-1.56, ,-6429.08,-1.17,(-10 - 10),-64.37, ,49.37, ,0.00,(<1),[3.86 3.85 3.91 4.01 ],[8.64 8.15 8.51 9.13 8.64 8.17 8.32 8.96 ],[-30.00 -29.69 -11.02 -10.98 10.98 11.21 28.71 30.35 ],No Error,Pass
23.2.3,5G,802.11ag,1,OFDM 54,20MHz,20MHZ,5825,165,N/A,N/A,N/A,N/A,1,false,Close,50,20.5,Off,12187,20.68,0.18, ,-33.01,(<-28),-1.55, ,-6829.02,-1.17,(-10 - 10),-55.31, ,40.31, ,0.00,(<1),[3.88 3.89 3.91 3.94 ],[9.90 9.87 9.32 9.52 9.03 8.72 9.82 10.29 ],[-30.98 -29.69 -11.02 -10.94 10.98 11.21 29.38 30.66 ],No Error,Pass
23.3.1,5G,802.11ag,2,OFDM 54,20MHz,20MHZ,5180,36,N/A,N/A,N/A,N/A,1,false,Close,50,20.5,Off,13134,20.29,-0.21, ,-31.74,(<-28),-1.41, ,-6133.90,-1.18,(-10 - 10),-61.73, ,46.73, ,0.00,(<1),[3.91 3.89 3.90 3.93 ],[10.40 10.47 9.14 9.66 8.55 8.34 10.35 10.75 ],[-30.00 -29.06 -11.02 -10.98 10.98 11.25 28.71 30.35 ],No Error,Pass
23.3.2,5G,802.11ag,2,OFDM 54,20MHz,20MHZ,5500,100,N/A,N/A,N/A,N/A,1,false,Close,50,20.5,Off,12675,20.42,-0.08, ,-30.03,(<-28),-1.39, ,-6548.89,-1.19,(-10 - 10),-67.28, ,52.28, ,0.00,(<1),[3.86 3.82 3.93 3.95 ],[9.27 9.02 8.94 9.54 8.51 8.22 9.12 9.90 ],[-30.00 -29.69 -11.02 -10.98 10.98 11.21 28.71 30.63 ],No Error,Pass
23.3.3,5G,802.11ag,2,OFDM 54,20MHz,20MHZ,5825,165,N/A,N/A,N/A,N/A,1,false,Close,50,20.5,Off,12256,20.56,0.06, ,-34.44,(<-28),-1.55, ,-6973.87,-1.20,(-10 - 10),-52.40, ,37.40, ,0.00,(<1),[3.85 3.87 3.90 3.99 ],[11.08 11.22 9.50 9.67 9.26 9.06 11.44 11.68 ],[-30.98 -29.69 -11.02 -10.94 10.98 11.21 29.38 30.66 ],No Error,Pass
23.4.1,5G,802.11ag,3,OFDM 54,20MHz,20MHZ,5180,36,N/A,N/A,N/A,N/A,1,false,Close,50,20.5,Off,13253,20.27,-0.23, ,-31.55,(<-28),-1.44, ,-6246.55,-1.21,(-10 - 10),-63.34, ,48.34, ,0.00,(<1),[3.89 3.85 3.90 3.92 ],[9.67 9.60 9.17 9.73 8.51 8.35 10.24 10.79 ],[-30.00 -29.06 -11.02 -10.98 10.98 11.21 28.71 30.35 ],No Error,Pass
23.4.2,5G,802.11ag,3,OFDM 54,20MHz,20MHZ,5500,100,N/A,N/A,N/A,N/A,1,false,Close,50,20.5,Off,13126,20.39,-0.11, ,-31.1,(<-28),-1.53, ,-6648.63,-1.21,(-10 - 10),-59.08, ,44.08, ,0.00,(<1),[3.85 3.82 3.93 3.98 ],[9.66 8.97 8.94 9.53 8.90 8.57 9.00 9.54 ],[-30.98 -29.69 -11.02 -10.98 10.98 11.21 28.71 30.35 ],No Error,Pass
23.4.3,5G,802.11ag,3,OFDM 54,20MHz,20MHZ,5825,165,N/A,N/A,N/A,N/A,1,false,Close,50,20.5,Off,11745,20.64,0.14, ,-32.46,(<-28),-1.54, ,-7049.64,-1.21,(-10 - 10),-57.85, ,42.85, ,0.00,(<1),[3.85 3.85 3.90 3.99 ],[10.11 9.86 9.26 9.69 9.21 8.92 10.24 10.93 ],[-30.98 -29.69 -11.02 -10.98 10.98 11.02 29.38 30.35 ],No Error,Pass
24.1.1,5G,802.11n,0,MCS7,40MHz,40MHz,5795,159,N/A,Long,N/A,LDPC,1,false,Close,50,20,Off,12613,19.83,-0.17, ,-35.54,(<-30),-1.15, ,-6989.01,-1.21,(-10 - 10),-61.62, ,41.62, ,0.00,(<1),[3.93 3.64 3.60 4.05 ],[11.46 9.46 8.71 9.30 7.82 7.87 11.08 12.19 ],[-60.00 -57.81 -21.05 -20.98 20.98 21.02 57.50 60.00 ],No Error,Pass
24.2.1,5G,802.11n,1,MCS7,40MHz,40MHz,5795,159,N/A,Long,N/A,LDPC,1,false,Close,50,20,Off,11919,19.68,-0.32, ,-35.92,(<-30),-1.17, ,-6967.51,-1.20,(-10 - 10),-62.56, ,42.56, ,0.00,(<1),[3.93 3.65 3.63 4.04 ],[12.56 10.79 8.81 9.49 7.94 7.87 12.90 13.85 ],[-60.00 -57.81 -21.05 -20.98 20.98 21.02 57.50 60.00 ],No Error,Pass
24.3.1,5G,802.11n,2,MCS7,40MHz,40MHz,5795,159,N/A,Long,N/A,LDPC,1,false,Close,50,20,Off,12565,19.72,-0.28, ,-35.03,(<-30),-1.14, ,-6972.20,-1.20,(-10 - 10),-65.77, ,45.77, ,0.00,(<1),[3.89 3.62 3.58 4.06 ],[10.16 8.15 8.61 9.11 7.92 7.95 9.96 11.39 ],[-60.00 -57.81 -21.02 -20.98 20.98 21.02 57.50 60.00 ],No Error,Pass
24.4.1,5G,802.11n,3,MCS7,40MHz,40MHz,5795,159,N/A,Long,N/A,LDPC,1,false,Close,50,20,Off,12782,19.8,-0.2, ,-36.93,(<-30),-1.17, ,-6996.18,-1.21,(-10 - 10),-61.89, ,41.89, ,0.00,(<1),[3.95 3.66 3.63 4.03 ],[13.05 10.53 8.98 9.75 7.96 7.92 12.12 13.36 ],[-60.00 -57.81 -21.05 -20.98 20.98 21.02 57.50 60.00 ],No Error,Pass
25.1.1,5G,802.11ax,0,MCS11,80MHz,80MHz,5210,42,N/A,N/A,GILTF1,LDPC,1,false,Close,50,18.5,Off,11684,18.61,0.11, ,-40.13,(<-38),-1.22, ,-6325.56,-1.21,(-10 - 10),-61.12, ,29.12, ,0.00,(<1),[4.41 3.49 3.70 3.74 ],[12.57 14.42 8.21 8.38 8.22 8.06 12.51 12.59 ],[-129.99 -95.24 -40.52 -40.49 40.49 40.52 116.87 139.98 ],No Error,Pass
25.2.1,5G,802.11ax,1,MCS11,80MHz,80MHz,5210,42,N/A,N/A,GILTF1,LDPC,1,false,Close,50,18.5,Off,10791,18.52,0.02, ,-41.61,(<-38),-1.20, ,-6261.99,-1.20,(-10 - 10),-66.64, ,34.64, ,0.00,(<1),[4.21 3.64 3.78 3.84 ],[12.84 14.84 8.06 8.24 8.30 8.16 12.43 12.13 ],[-129.99 -95.21 -40.52 -40.49 40.49 40.52 119.33 121.14 ],No Error,Pass
25.3.1,5G,802.11ax,2,MCS11,80MHz,80MHz,5210,42,N/A,N/A,GILTF1,LDPC,1,false,Close,49,18.5,Off,11309,18.55,0.05, ,-41.48,(<-38),-1.21, ,-6285.23,-1.21,(-10 - 10),-61.25, ,29.25, ,0.00,(<1),[4.23 3.64 3.76 3.78 ],[12.68 16.15 8.05 8.20 8.25 8.09 12.71 12.50 ],[-129.99 -94.28 -40.52 -40.49 40.49 40.52 119.41 139.98 ],No Error,Pass
25.4.1,5G,802.11ax,3,MCS11,80MHz,80MHz,5210,42,N/A,N/A,GILTF1,LDPC,1,false,Close,49,18.5,Off,11597,18.66,0.16, ,-41.9,(<-38),-1.22, ,-6341.61,-1.22,(-10 - 10),-64.51, ,32.51, ,0.00,(<1),[4.20 3.64 3.72 3.79 ],[12.75 14.56 8.11 8.26 8.23 8.09 12.71 12.75 ],[-129.99 -91.26 -40.52 -40.49 40.49 40.52 119.36 121.14 ],No Error,Pass
26.1.1,5G,802.11be,0,MCS13,160MHz,160MHz,5570,114,N/A,N/A,GILTF0,LDPC,1,false,Close,50,18,Off,11112,18.04,0.04, ,-43.66,(<-41),-1.24, ,-6879.05,-1.24,(-10 - 10),-64.66, ,32.66, ,0.00,(<1),[4.26 3.59 3.70 3.71 3.54 4.36 ],[17.28 16.28 9.22 9.58 9.33 9.02 15.39 16.36 ],[-240.00 -237.60 -80.51 -80.48 80.48 80.51 238.74 240.00 ],No Error,Pass
26.2.1,5G,802.11be,1,MCS13,160MHz,160MHz,5570,114,N/A,N/A,GILTF0,LDPC,1,false,Close,50,18,Off,11428,18.01,0.01, ,-42.86,(<-41),-1.22, ,-6798.40,-1.22,(-10 - 10),-59.55, ,27.55, ,0.00,(<1),[4.13 3.69 3.70 3.70 3.50 4.37 ],[16.56 15.87 9.02 9.38 9.41 9.12 15.03 15.31 ],[-240.00 -237.71 -80.51 -80.48 80.48 80.51 238.12 240.00 ],No Error,Pass
26.3.1,5G,802.11be,2,MCS13,160MHz,160MHz,5570,114,N/A,N/A,GILTF0,LDPC,1,false,Close,50,18,Off,11330,18.04,0.04, ,-42.64,(<-41),-1.22, ,-6818.55,-1.22,(-10 - 10),-65.87, ,33.87, ,0.00,(<1),[4.14 3.64 3.70 3.70 3.47 4.41 ],[17.17 16.13 9.07 9.46 9.42 9.14 15.01 16.05 ],[-240.00 -238.74 -80.51 -80.48 80.48 80.51 189.99 240.00 ],No Error,Pass
26.4.1,5G,802.11be,3,MCS13,160MHz,160MHz,5570,114,N/A,N/A,GILTF0,LDPC,1,false,Close,49,18,Off,11064,18.1,0.1, ,-43.9,(<-41),-1.24, ,-6883.20,-1.24,(-10 - 10),-64.98, ,32.98, ,0.00,(<1),[4.25 3.62 3.70 3.72 3.52 4.36 ],[15.73 15.37 9.17 9.54 9.21 8.93 13.94 15.82 ],[-240.00 -238.71 -80.51 -80.48 80.48 80.51 189.99 240.00 ],No Error,Pass
27.1.1,6G,802.11ax,0,MCS7,20MHz,20MHZ,5955,1,N/A,N/A,GILTF1,LDPC,1,false,Close,50,20,Off,11812,20.13,0.13, ,-35.68,(<-30),-1.20, ,-7266.62,-1.22,(-10 - 10),-67.86, ,35.86, ,0.00,(<1),[4.10 3.82 3.84 3.93 ],[11.89 12.03 6.45 6.90 8.14 7.54 9.28 9.41 ],[-30.51 -29.14 -10.51 -10.47 10.47 10.51 29.77 30.55 ],No Error,Pass
27.1.2,6G,802.11ax,0,MCS7,20MHz,20MHZ,6335,77,N/A,N/A,GILTF1,LDPC,1,false,Close,51,20,Off,11341,20.05,0.05, ,-39.17,(<-30),-1.21, ,-7824.61,-1.24,(-10 - 10),-63.46, ,31.46, ,0.00,(<1),[4.01 3.87 3.84 3.93 ],[13.00 13.29 6.29 6.78 8.28 7.72 12.11 12.01 ],[-30.51 -29.61 -10.51 -10.47 10.47 10.51 29.77 30.55 ],No Error,Pass
27.1.3,6G,802.11ax,0,MCS7,20MHz,20MHZ,6755,161,N/A,N/A,GILTF1,LDPC,1,false,Close,51,20,Off,11795,20,0, ,-38.67,(<-30),-1.23, ,-8451.53,-1.25,(-10 - 10),-60.56, ,28.56, ,0.00,(<1),[3.92 3.86 3.85 3.97 ],[12.29 12.75 6.07 6.58 8.23 7.60 12.29 12.29 ],[-30.51 -29.84 -10.51 -10.47 10.47 10.51 29.30 30.00 ],No Error,Pass
27.1.4,6G,802.11ax,0,MCS7,20MHz,20MHZ,7115,233,N/A,N/A,GILTF1,LDPC,1,false,Close,51,20,Off,11750,19.94,-0.06, ,-35.06,(<-30),-1.25, ,-8976.24,-1.26,(-10 - 10),-66.02, ,34.02, ,0.00,(<1),[3.96 3.90 3.86 4.03 ],[11.46 11.70 5.98 6.41 8.14 7.63 10.68 10.67 ],[-30.39 -29.14 -10.51 -10.47 10.47 10.51 29.73 30.55 ],No Error,Pass
